,Weighting,InheritedValue,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
342furrow,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,18,19,10,10,20,21
344goat,1,-1,1,2,3,4,5,4,6,7,4,8,9,10,11,12,5,13,4,14,8,8,8,9,15,10
345gold,1,-1,1,2,3,4,5,6,6,14,7,15,8,7,9,10,5,6,7,16,15,15,15,11,12,13
346goose,1,-1,1,2,3,4,5,3,6,3,3,3,7,3,8,9,10,11,3,3,12,3,3,7,13,14
348grind,1,-1,1,2,2,3,4,5,6,1,1,7,1,1,8,9,10,11,12,1,1,1,1,1,13,1
349half,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,10,10,10,18,19,20
353horse,1,-1,1,2,3,4,3,3,3,5,6,7,3,3,3,3,3,3,8,9,3,7,7,10,11,12
355hundred,1,-1,1,2,3,4,3,3,3,3,3,3,3,3,5,6,3,7,8,3,3,3,9,3,10,11
356jaw,1,-1,1,2,2,3,4,2,2,5,2,6,7,8,9,10,2,11,12,13,14,17,2,2,15,16
357join,1,-1,1,2,3,4,5,6,6,7,6,8,9,6,10,11,5,12,13,14,15,16,8,17,18,19
358king,1,-1,1,2,3,4,5,6,7,8,9,10,6,6,11,11,5,7,12,13,14,10,10,15,16,17
359knot,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,18,10,10,19,20,21
362.1leave1,1,-1,1,2,2,3,4,2,2,5,2,3,6,2,7,8,4,9,10,11,3,3,3,12,13,14
362.2leave2,1,-1,1,2,2,15,4,2,2,5,2,3,6,2,7,8,4,9,10,11,3,3,3,12,13,14
363lick,1,-1,1,2,2,3,4,2,2,2,2,2,2,2,5,6,7,8,9,2,2,2,2,2,10,11
365light,1,-1,1,1,2,3,1,1,1,4,4,1,1,1,5,6,1,7,8,9,1,1,1,1,10,11
367livestock,1,-1,1,2,3,4,5,6,6,7,8,6,9,6,10,11,12,13,14,15,16,6,6,17,18,6
369middle,1,-1,1,2,2,2,3,2,2,4,5,2,2,2,6,7,3,8,9,5,2,2,2,10,2,11
370.1milk1,1,-1,1,2,3,4,5,6,6,7,15,5,5,16,8,9,5,10,11,15,5,5,5,12,13,14
370.2milk2,1,-1,1,2,3,4,5,6,6,7,15,17,5,16,8,9,5,10,11,15,17,17,17,12,13,14
371mother_in_law,1,-1,1,2,3,2,4,2,5,2,6,2,7,2,8,9,10,11,12,13,2,14,2,15,16,17
